Fiscal Year,Quarter Ending,County_Number,County,City,Number of Returns,Taxable Sales,Computed Tax,Percent of Tax,FIPS County Code,Primary Lat Dec,Primary Long Dec,County Primary Point
2012,9/30/2011,1,Adair,Adair,58,3113359,184309,4,19001,41.3307464,-94.4709413,POINT (-94.4709413 41.3307464)
2012,9/30/2011,93,Wayne,Other,17,1068749,63870,1,19185,40.7394702,-93.3273639,POINT (-93.3273639 40.7394702)
2012,9/30/2011,98,Worth,Other,13,122761,7366,0,19195,43.3773984,-93.2608476,POINT (-93.2608476 43.3773984)
2012,12/31/2011,71,O'Brien,Other,19,304731,18284,0,19141,43.0837527,-95.6248784,POINT (-95.6248784 43.0837527)
2012,6/30/2012,1,Adair,Adair,57,3036969,180138,3,19001,41.3307464,-94.4709413,POINT (-94.4709413 41.3307464)
2013,12/31/2012,91,Warren,Lacona,31,385009,23101,0,19181,41.3343735,-93.5613594,POINT (-93.5613594 41.3343735)
2013,6/30/2013,26,Davis,Other,18,349072,20666,0,19051,40.7476891,-92.4097173,POINT (-92.4097173 40.7476891)
2014,12/31/2013,73,Page,Essex,47,846372,50782,1,19145,40.7391444,-95.1501747,POINT (-95.1501747 40.7391444)
2015,9/30/2014,1,Adair,Orient,16,238144,14284,0,19001,41.3307464,-94.4709413,POINT (-94.4709413 41.3307464)
2015,9/30/2014,27,Decatur,Other,22,477652,28659,0,19053,40.7376827,-93.7862815,POINT (-93.7862815 40.7376827)
2015,12/31/2014,21,Clay,Other,23,130545,7833,0,19041,43.0825804,-95.1509194,POINT (-95.1509194 43.0825804)
2015,3/31/2015,8,Boone,Boone,415,35144602,2105777,42,19015,42.0365493,-93.931671,POINT (-93.931671 42.0365493)
2015,3/31/2015,93,Wayne,Other,25,1004068,60244,1,19185,40.7394702,-93.3273639,POINT (-93.3273639 40.7394702)
2015,6/30/2015,67,Monona,Castana,11,55589,3335,0,19133,42.0516663,-95.9599235,POINT (-95.9599235 42.0516663)
2016,9/30/2015,2,Adams,Other,23,248703,14922,0,19003,41.0289839,-94.6991849,POINT (-94.6991849 41.0289839)
2016,9/30/2015,25,Dallas,Adel,206,14659587,877401,15,19049,41.6848862,-94.0397374,POINT (-94.0397374 41.6848862)
2016,12/31/2015,6,Benton,Luzerne,10,61283,3677,0,19011,42.0801864,-92.0656912,POINT (-92.0656912 42.0801864)
2016,3/31/2016,8,Boone,Ogden,81,1629535,97724,2,19015,42.0365493,-93.931671,POINT (-93.931671 42.0365493)
2016,3/31/2016,73,Page,Essex,28,541345,32481,1,19145,40.7391444,-95.1501747,POINT (-95.1501747 40.7391444)
2017,9/30/2016,86,Tama,Clutier,11,103579,6215,0,19171,42.0798117,-92.5325425,POINT (-92.5325425 42.0798117)
2017,9/30/2016,94,Webster,Otho,10,185715,11143,0,19187,42.4279662,-94.1817881,POINT (-94.1817881 42.4279662)
2017,6/30/2017,1,Adair,Orient,13,264986,15899,0,19001,41.3307464,-94.4709413,POINT (-94.4709413 41.3307464)
2017,6/30/2017,67,Monona,Ute,17,376069,22564,0,19133,42.0516663,-95.9599235,POINT (-95.9599235 42.0516663)
2018,9/30/2017,94,Webster,Lehigh,11,504933,30296,1,19187,42.4279662,-94.1817881,POINT (-94.1817881 42.4279662)
2018,3/31/2018,67,Monona,Ute,18,225764,13546,0,19133,42.0516663,-95.9599235,POINT (-95.9599235 42.0516663)
2019,9/30/2018,77,Polk,Grimes,269,74612225,4458346,71,19153,41.6855048,-93.5735335,POINT (-93.5735335 41.6855048)
2019,3/31/2019,67,Monona,Ute,17,174572,10474,0,19133,42.0516663,-95.9599235,POINT (-95.9599235 42.0516663)
